Entry	Gene names
Q7Z4N8	P4HA3 UNQ711/PRO1374
Q9NXG6	P4HTM PH4
Q93086	P2RX5 P2X5
O00459	PIK3R2
Q68DD2	PLA2G4F
P18509	ADCYAP1
Q9BZM2	PLA2G2F
Q8N7B6	PACRGL C4orf28
Q8NEJ9	NGDN C14orf120
Q8WX92	NELFB COBRA1 KIAA1182
Q92542	NCSTN KIAA0253 UNQ1874/PRO4317
Q9Y239	NOD1 CARD4
Q9HC29	NOD2 CARD15 IBD1
Q9NXX6	NSMCE4A C10orf86 PP4762
Q9UNZ2	NSFL1C UBXN2C
Q9P121	NTM IGLON2 NT UNQ297/PRO337
Q9NY27	PPP4R2 SBBI57
Q9P1A2	PPP4R1L C20orf192 PRO1085
Q02818	NUCB1 NUC
O60285	NUAK1 ARK5 KIAA0537 OMPHK1
Q8NFP7	NUDT10 APS2 DIPP3A
Q96G61	NUDT11 APS1 DIPP3B
O95848	NUDT14 UGPP
P11117	ACP2
Q96DE0	NUDT16
P0C025	NUDT17
Q96R84	OR1F2P OR1F2
Q8NGR8	OR1L8
Q8NGS0	OR1N1 OR1N3
Q96R48	OR2A5 OR2A26 OR2A8
Q9GZK3	OR2B2 OR2B9
Q8NGA0	OR7G1 OR7G1P
Q8NG99	OR7G2
Q8NGU2	OR9A4
Q9H210	OR2D2 OR2D1
P0DMU2	OR8G3P
Q8NGQ1	OR9G4
O95006	OR2F2
O95222	OR6A2 OR6A1 OR6A2P
Q96R09	OR5B2
Q96RD1	OR6C1
Q8NGF7	OR5B17 OR5B20P
Q8NGG8	OR8B3
Q9BRQ5	ORAI3 TMEM142C
Q8NGZ6	OR6F1
Q8NGY2	OR6K2
Q8NGY3	OR6K3
Q9P0S3	ORMDL1 HSPC202
A6NHN0	OTOL1
Q8TAX0	OSR1 ODD
Q9HC10	OTOF FER1L2
P22059	OSBP OSBP1
P47900	P2RY1
O00443	PIK3C2A
Q86VZ1	P2RY8
Q06416	POU5F1B OCT4PG1 OTF3C OTF3P1 POU5F1P1 POU5FLC20 POU5FLC8
Q8TCG2	PI4K2B
O15547	P2RX6 P2RXL1 P2X6
Q9H3D4	TP63 KET P63 P73H P73L TP73L
Q8WXI9	GATAD2B KIAA1150
P04054	PLA2G1B PLA2 PLA2A PPLA2
Q8NFH5	NUP35 MP44 NUP53
Q6UWF7	NXPE4 C11orf33 FAM55D UNQ3018/PRO9799
Q9NZP5	OR5AC2
Q8NG77	OR2T12
O60404	OR10H3
Q8NH95	OR13C6P
Q8NH61	OR51F2
Q9BVL2	NUP58 KIAA0410 NUPL1
Q8NGJ5	OR51L1
Q6IF36	OR8G2P OR8G2 OR8G4
Q6IF82	OR4A47
Q8NGF0	OR52B6
A0A2R8Y4Y8	OOSP4B
Q9BXW6	OSBPL1A ORP1 OSBP8 OSBPL1 OSBPL1B
P14920	DAO DAMOX
Q9NUU6	OTULINL FAM105A
Q3SYA9	POM121L1P POM121L1
P83859	QRFP
Q86U42	PABPN1 PAB2 PABP2
P28072	PSMB6 LMPY Y
P41586	ADCYAP1R1
Q8NCC3	PLA2G15 LYPLA3 UNQ341/PRO540
A0A075B759	PPIAL4E
Q9NQU5	PAK6 PAK5
P01298	PPY PNP
Q9BSG0	PRADC1 C2orf7 PAP21 UNQ833/PRO1760
Q9ULC6	PADI1 PAD1 PDI1
Q99487	PAFAH2
Q6UXH9	PAMR1 RAMP FP938 UNQ699/PRO1344
Q58A45	PAN3
Q13153	PAK1
O96013	PAK4 KIAA1142
Q9H0K6	PUS7L
Q96PZ0	PUS7 KIAA1897
O14949	UQCRQ
O95755	RAB36
Q96AX2	RAB37
P20336	RAB3A
Q8IUD2	ERC1 ELKS KIAA1081 RAB6IP2
Q86UN2	RTN4RL1 NGRH2 NGRL2
Q08999	RBL2 RB2
Q86UN3	RTN4RL2 NGRH1 NGRL3
Q70E73	RAPH1 ALS2CR18 ALS2CR9 KIAA1681 LPD PREL2 RMO1
Q6NUR6	RNF216P1 RNF216L
Q8NDT2	RBM15B OTT3
P57735	RAB25 CATX8
Q9Y620	RAD54B
P54727	RAD23B
P0C7P1	RBMY1D
P51606	RENBP
Q92900	UPF1 KIAA0221 RENT1
Q96D71	REPS1
Q13127	REST NRSF XBR
P09455	RBP1 CRBP1
P18124	RPL7
Q96A58	RERG
Q9HD89	RETN FIZZ3 HXCP1 RSTN UNQ407/PRO1199
Q8IZJ4	RGL4 RGR
Q9H477	RBKS RBSK
Q96R05	RBP7
Q9UBZ9	REV1 REV1L
O75570	MTRF1
O00287	RFXAP
O75677	RFPL1 RFPL1L RNF78
Q9NZL6	RGL1 KIAA0959 RGL
P58872	RHBDL3 RHBDL4 VRHO
Q8IUC4	RHPN2
P35243	RCVRN RCV1
Q06141	REG3A HIP PAP PAP1
Q8IUW5	RELL1 PSEC0162
P50120	RBP2 CRBP2
Q8NC44	RETREG2 C2orf17 FAM134A MAG2
Q6NUM9	RETSAT PPSIG UNQ439/PRO872
P82980	RBP5
Q9Y644	RFNG
P40938	RFC3
Q8TAC1	RFESD
A6NLU0	RFPL4A RFPL4 RNF210
Q6ZWI9	RFPL4B RNF211
Q9BRK0	REEP2 C5orf19 SGC32445
P04090	RLN2
Q8WXF3	RLN3 INSL7 RXN3 ZINS4 UNQ6188/PRO20213
P78509	RELN
P05451	REG1A PSPS PSPS1 REG
O75628	REM1 GES REM
Q9P260	RELCH KIAA1468
P00797	REN
Q8IYK8	REM2
O75787	ATP6AP2 ATP6IP2 CAPER ELDF10 HT028 MSTP009 PSEC0072
Q02878	RPL6 TXREB1
Q5W5W9	RESP18
Q86VR2	RETREG3 FAM134C
Q8N1G1	REXO1 ELOABP1 KIAA1138 TCEB3BP1
O60673	REV3L POLZ REV3
Q9UGC7	MTRF1L MTRF1A
O00559	EBAG9 RCAS1
P61572	ERVK-19
Q92781	RDH5 HSD17B9 RDH1 SDR9C5
P10745	RBP3
Q96IC2	REXO5 44M2.3
Q52LD8	RFTN2 C2orf11
Q6PCD5	RFWD3 RNF201
Q13156	RPA4
O75154	RAB11FIP3 ARFO1 KIAA0665
P48380	RFX3
P0C7P2	RFPL3S RFPL3-AS1
Q6ZTI6	RFLNA FAM101A
P0DJD0	RGPD1 RANBP2L6 RGP1
Q6NW40	RGMB
Q6NSI4	RADX CXorf57
P25791	LMO2 RBTN2 RBTNL1 RHOM2 TTG2
Q9H4I0	RAD21L1 RAD21L
O94762	RECQL5 RECQ5
P78563	ADARB1 ADAR2 DRADA2 RED1
Q9H902	REEP1 C2orf23 SPG31
Q6NUK4	REEP3 C10orf74
P04808	RLN1
Q6UW15	REG3G PAP1B UNQ429/PRO162
O15258	RER1
Q9P2R6	RERE ARG ARP ATN1L KIAA0458
Q96EN9	REX1BD C19orf60
Q96AH8	RAB7B
P61576	HERV-K104
P61571	ERVK-21
Q8NDN9	RCBTB1 CLLD7 E4.5
O95199	RCBTB2 CHC1L RLG
Q9UBF6	RNF7 RBX2 ROC2 SAG
A6NEQ0	RBMY1E
Q9H6H4	REEP4 C8orf20 PP432
Q9BYZ8	REG4 GISP RELP
Q9H1J1	UPF3A RENT3A UPF3
Q01201	RELB
A0A1B0GV85	REELD1
Q6BDI9	REP15
Q9HAU5	UPF2 KIAA1408 RENT2
Q9H628	RERGL
Q9H6L5	RETREG1 FAM134B JK1
Q92785	DPF2 BAF45D REQ UBID4
Q9NYW8	RBAK ZNF769
Q96PK6	RBM14 SIP
Q9P0K7	RAI14 KIAA1334 NORPEG
P29558	RBMS1 C2orf12 MSSP MSSP1 SCR2
A0AV96	RBM47
Q96HR9	REEP6 C19orf32 DP1L1
P48304	REG1B PSPS2 REGL
Q04864	REL
Q9BZI7	UPF3B RENT3B UPF3X
Q8N0V3	RBFA C18orf22
Q9H2L5	RASSF4 AD037
Q96IZ5	RBM41
Q14964	RAB39A RAB39
P0C0E4	RAB40AL RLGP
Q9UKL0	RCOR1 KIAA0071 RCOR
Q5T8P6	RBM26 C13orf10 PRO1777
Q9NW13	RBM28
P54725	RAD23A
O94761	RECQL4 RECQ4
Q9NS39	ADARB2 ADAR3 RED2
Q13123	IK RED RER
Q00765	REEP5 C5orf18 DP1 TB2
Q8NC24	RELL2 C5orf16 UNQ9423/PRO34565
O95707	POP4 RPP29
Q96FB5	RRNAD1 C1orf66 CGI-41
O75044	SRGAP2 ARHGAP34 FNBP2 KIAA0456 SRGAP2A
Q9NYV6	RRN3 TIFIA
Q6XPR3	RPTN
Q14690	PDCD11 KIAA0185
P62841	RPS15 RIG
P11831	SRF
P62244	RPS15A OK/SW-cl.82
Q7Z6B7	SRGAP1 ARHGAP13 KIAA1304
Q9NQG5	RPRD1B C20orf77 CREPT
P10301	RRAS
P0DMP2	SRGAP2B SRGAP2P2
Q9NSQ0	RRP7BP RRP7B
P39019	RPS19
P10124	SRGN PRG PRG1
P62266	RPS23
Q92766	RREB1 FINB
Q9BUL9	RPP25
P78345	RPP38
Q969S9	GFM2 EFG2 MSTP027
Q9Y3B9	RRP15 KIAA0507 CGI-115
Q9NQL2	RRAGD
Q96E11	MRRF
Q9P2E9	RRBP1 KIAA1398
Q7L523	RRAGA
Q5VZM2	RRAGB
Q5JTH9	RRP12 KIAA0690
Q14684	RRP1B KIAA0179
P25398	RPS12
Q9UGK8	SERGEF DELGEF GNEFR
P62263	RPS14 PRO2640
P22090	RPS4Y1 RPS4Y PRO2646
Q13315	ATM
P18847	ATF3
Q6UY09	CEACAM20 UNQ9366/PRO34155
Q9P209	CEP72 KIAA1519
Q96ST8	CEP89 CCDC123
Q96GE4	CEP95 CCDC45 CEP45
Q49MI3	CERKL
Q9UKY3	CES1P1 CES4
P41208	CETN2 CALT CEN2
Q5SQH8	C6orf136
Q9H8X3	LINC00574 C6orf208
P0C7V0	LINC00271 C6orf217 NCRNA00271
Q8N0U6	LINC00518 C6orf218
O43822	CFAP410 C21orf2 LRRC76
Q8NDM7	CFAP43 C10orf79 WDR96
Q9UL16	CFAP45 CCDC19 NESG1
Q8IYW2	CFAP46 C10orf123 C10orf124 C10orf92 C10orf93 TTC40
Q6ZTR5	CFAP47 CHDC2 CXorf22 CXorf30 CXorf59
Q8NHU2	CFAP61 C20orf26
Q6ZQR2	CFAP77 C9orf171
P08603	CFH HF HF1 HF2
P05156	CFI IF
P0CG37	CFC1
Q8N865	C7orf31
Q6ZP68	ATP11AUN C13orf35
A4D0T2	C7orf66
Q9H7B7	C7orf69
A4D174	C7orf71
O75882	ATRN KIAA0548 MGCA
Q9H324	ADAMTS10
Q9UBB4	ATXN10 SCA10
Q9UNA0	ADAMTS5 ADAMTS11 ADMP2
Q13825	AUH
P54252	ATXN3 ATX3 MJD MJD1 SCA3
Q9UQB9	AURKC AIE2 AIK3 AIRK3 ARK3 STK13
Q5T686	AVPI1 NPD013 PP5395
Q58HT5	AWAT1 DGA2 DGAT2L3
Q6E213	AWAT2 DC4 DGAT2L4 MFAT WS
A6NMY6	ANXA2P2 ANX2L2 ANX2P2 LPC2B
Q5VT79	ANXA8L1 ANXA8L2
Q9H6S1	AZI2 NAP1 TBKBP2
O14977	AZIN1 OAZI OAZIN
O14867	BACH1
Q9BYV9	BACH2
Q6ZUV0	ACOT7L BACHL
O94812	BAIAP3 KIAA0734
Q6ZNE5	ATG14 ATG14L KIAA0831
Q70JA7	CHSY3 CHSY2 CSS3
O43916	CHST1
Q8N9N5	BANP BEND1 SMAR1
Q8NCG5	CHST4
Q9GZS9	CHST5
Q92560	BAP1 KIAA0272 hucep-6
Q9H2A9	CHST8
Q8NET6	CHST13
Q8NCH0	CHST14 D4ST1 UNQ1925/PRO4400
Q7LFX5	CHST15 BRAG GALNAC4S6ST KIAA0598
Q9HBU1	BARX1
Q9UMQ3	BARX2
P82251	SLC7A9 BAT1
P0C843	LINC00032 C9orf14 NCRNA00032
Q9P2X8	LINC00474 C9orf27
Q8IXQ3	C9orf40
Q6ZRZ4	C9orf47 C9orf108
Q5SZB4	C9orf50
Q5W0N0	C9orf57
Q8N4C0	C9orf62
Q5T8R8	C9orf66
Q96PG8	BBC3 PUMA
A6NHY6	C9orf118
Q5T035	C9orf129
Q8WZB0	LINC00476 C9orf130 NAG12
Q5VYM1	C9orf131
Q9H5X1	CIAO2A CIA2A FAM96A
Q6ZW61	BBS12 C4orf24
Q9BXC9	BBS2
Q8N3I7	BBS5
Q9H6Q4	CIAO3 NARFL PRN
Q8N365	CIART C1orf51
Q99828	CIB1 CIB KIP PRKDCIP
Q8WY36	BBX HBP2
O75838	CIB2 KIP2
Q9H6U6	BCAS3
P50895	BCAM LU MSK19
O15382	BCAT2 BCATM BCT2 ECA40
O75363	BCAS1 AIBC1 NABC1
O60543	CIDEA
Q9P287	BCCIP TOK1
O43734	TRAF3IP2 C6orf2 C6orf4 C6orf5 C6orf6
Q9P2M7	CGN KIAA1319
O95999	BCL10 CIPER CLAP
Q9UBD9	CLCF1 BSF3 CLC NNT1
P51800	CLCNKA
Q8IZS7	CLECL1 DCAL1
P51790	CLCN3
P51793	CLCN4
P51797	CLCN6 KIAA0046
P51798	CLCN7
P78369	CLDN10
O75508	CLDN11 OSP OTM
P56749	CLDN12
P56746	CLDN15
Q9Y5I7	CLDN16 PCLN1
O14967	CLGN
P53675	CLTCL1 CLH22 CLTCL CLTD
Q8NHS4	CLHC1 C2orf63
Q7RTS1	BHLHA15 BHLHB8 MIST1
O95833	CLIC3
Q8NFJ8	BHLHE22 BHLHB5 TNRC20
Q8NDY6	BHLHE23 BHLHB4
Q9NZA1	CLIC5
Q9C0J9	BHLHE41 BHLHB3 DEC2 SHARP1
Q93088	BHMT
Q9UDT6	CLIP2 CYLN2 KIAA0291 WBSCR3 WBSCR4 WSCR4
Q96DZ5	CLIP3 CLIPR59
Q8N3C7	CLIP4 RSNL2
P49760	CLK2
P49761	CLK3
Q9HAZ1	CLK4
Q9UHR4	BAIAP2L1 IRTKS
Q5K131	CLLU1
Q6UXY1	BAIAP2L2 UNQ9336/PRO34007
Q9H694	BICC1
Q96G01	BICD1
Q8TD16	BICD2 KIAA0699
Q08708	CD300C CMRF35 CMRF35A CMRF35A1 IGSF16
A8K4G0	CD300LB CD300B CLM7 CMRF35A2 IREM3 LMIR5 TREM5 UNQ2530/PRO6029
Q6ZP65	BICDL1 BICDR1 CCDC64
A1A5D9	BICDL2 BICDR2 CCDC64B
Q9NZM4	BICRA GLTSCR1
Q6AI39	BICRAL GLTSCR1L KIAA0240
P55957	BID
P53004	BLVRA BLVR BVR
O75503	CLN5
Q9UBY8	CLN8 C8orf61
Q9Y6D5	ARFGEF2 ARFGEP2 BIG2
Q9UBW5	BIN2 BRAP1
Q9NQY0	BIN3
Q96KA5	CLPTM1L CRR9
Q92989	CLP1 HEAB
P78537	BLOC1S1 BLOS1 GCN5L1 RT14
Q9NR09	BIRC6 KIAA1289
Q96CA5	BIRC7 KIAP LIVIN MLIAP RNF50 UNQ5800/PRO19607/PRO21344
Q5SYC1	CLVS2 C6orf212 C6orf213 RLBP1L2
A4D250	BLACE
Q13867	BLMH
P30043	BLVRB FLR
Q5H9B9	BMP2KL
P56277	CMC4 C6.1B MTCP1 MTCP1NB
Q7Z5W3	BCDIN3D
Q01954	BNC1 BNC
Q6QNY1	BLOC1S2 BLOS2 CEAP
P51813	BMX
Q53S33	BOLA3
Q86WA6	BPHL MCNAA
Q53HL2	CDCA8 PESCRG3
Q5U4P2	ASPHD1
Q9H305	CDIP1 C16orf5 CDIP LITAFL
Q07002	CDK18 PCTAIRE3 PCTK3
O75129	ASTN2 KIAA0634
L0R819	ASDURF
Q8IUZ5	PHYKPL AGXT2L2 PP9286
O60423	ATP8B3 ATP1K FOS37502_2
Q8TF62	ATP8B4 KIAA1939
Q92858	ATOH1 ATH1 BHLHA14
Q86TH1	ADAMTSL2 KIAA0605
Q96T59	CDRT15
P06576	ATP5F1B ATP5B ATPMB ATPSB
Q96MT8	CEP63
Q76N32	CEP68 KIAA0582
Q5JTW2	CEP78 C9orf81
Q9Y6K0	CEPT1 PRO1101
P00450	CP
O15182	CETN3 CEN3
P36542	ATP5F1C ATP5C ATP5C1 ATP5CL1
Q4VX62	C6orf99
Q5T0Z8	C6orf132
Q6ZTY9	C7orf65
Q8WXE1	ATRIP AGS1
Q5VV63	ATRNL1 KIAA0534
Q9UKP5	ADAMTS6
Q9UKP4	ADAMTS7
Q9P2N4	ADAMTS9 KIAA1312
Q8TE60	ADAMTS18 ADAMTS21
Q8TE59	ADAMTS19
Q9UHI8	ADAMTS1 KIAA1346 METH1
Q9UFW8	CGGBP1 CGGBP
O95450	ADAMTS2 PCINP PCPNI
P32929	CTH
Q0VF96	CGNL1 JACOP KIAA1749
Q9H1Z8	C2orf40 ECRG4 UNQ761/PRO1508
Q9H7T9	AUNIP C1orf135
O15265	ATXN7 SCA7
Q8ND07	BBOF1 C14orf45 CCDC176
Q6ZUJ8	PIK3AP1 BCAP
O75815	BCAR3 NSP2 SH2D3B UNQ271/PRO308
Q9UHD4	CIDEB
Q9NWK9	ZNHIT6 BCD1 C1orf181
O75339	CILP UNQ602/PRO1188
O14874	BCKDK
Q9BW66	CINP
Q9NPC3	CCNB1IP1 C14orf18 HEI10
Q8TCG1	CIP2A KIAA1524
Q15642	TRIP10 CIP4 STOT STP
Q9C0C6	CIPC KIAA1737
Q4VC05	BCL7A
Q86UU0	BCL9L DLNB11
O00512	BCL9
Q9NYF8	BCLAF1 BTF KIAA0164
Q6W2J9	BCOR KIAA1575
Q86X95	CIR1 CIR
Q9Y276	BCS1L BCS1
Q9NZ45	CISD1 C10orf70 ZCD1 MDS029
Q8N5K1	CISD2 CDGSH2 ERIS ZCD2
P0C7P0	CISD3
Q8NFC6	BOD1L1 BOD1L FAM44A KIAA1327
Q8IYS8	BOD1L2 BOD1P FAM44C
O75390	CS
Q9BUT1	BDH2 DHRS6 SDR15C1 UNQ6308/PRO20933
Q02338	BDH1 BDH SDR9C1
Q9ULV3	CIZ1 LSFR1 NP94 ZNF356
A8MW95	BECN2 BECN1L1 BECN1P1
Q8IYJ2	C10orf67 LINC01552
Q8WW14	C10orf82
Q8N1V8	LINC01561 C10orf85
Q9H8K7	C10orf88
Q96M02	C10orf90 FATS
Q9BUH8	BEGAIN KIAA1446
Q8NDZ0	BEND2 CXorf20
Q5T5X7	BEND3 KIAA1553
Q6ZU67	BEND4 CCDC4
Q7L4P6	BEND5 C1orf165
Q5SZJ8	BEND6 C6orf65
Q8N7W2	BEND7 C10orf30
O76090	BEST1 VMD2
Q8NFU1	BEST2 VMD2L1
Q8N1M1	BEST3 VMD2L3
Q8NFU0	BEST4 VMD2L2
Q9NYM9	BET1L GS15
O15155	BET1
Q9H5F2	C11orf1
Q96F05	C11orf24 FP2568 UNQ1872/PRO4315
Q96N53	LINC00167 C11orf37 NCRNA00167
Q8WZ69	C11orf40 NOV1
Q8N5U0	C11orf42
Q8N8P7	C11orf44
Q96A22	C11orf52
Q9H0W9	C11orf54 LP4947 PTD012
Q8NCR3	C11orf65
Q6IPW1	C11orf71
A6NJI1	C11orf86
Q6NUJ2	C11orf87
Q6PI97	C11orf88
C9JXX5	C11orf94
Q7Z7L8	C11orf96 AG2
E9PRG8	C11orf98
Q7Z7J9	CAMK2N1
Q96SN8	CDK5RAP2 CEP215 KIAA1633
Q96JB5	CDK5RAP3 IC53 LZAP MSTP016 OK/SW-cl.114 PP1553
Q07065	CKAP4
Q8IZ96	CMTM1 CKLFSF1
Q96DZ9	CMTM5 CKLFSF5
Q96FZ5	CMTM7 CKLFSF7
Q9UBR5	CKLF CKLF1 HSPC224 UNQ410/PRO772
Q00994	BEX3 DXS6984E NADE NGFRAP1
P61024	CKS1B CKS1 PNAS-143 PNAS-16
Q5H9J7	BEX5 NADE2 NGFRAP1L1
P33552	CKS2
Q8N6U2	LINC00612 C12orf33
Q495D7	LINC01559 C12orf36
Q96LP6	C12orf42
Q9H741	C12orf49
Q8N7H1	LINC01465 C12orf61
Q9H3J6	C12orf65 My030
Q96MD2	C12orf66
Q96M19	LINC00477 C12orf67
Q13515	BFSP2
Q69YU5	C12orf73
Q8N812	C12orf76
P0DPE3	C12orf81
C9JDV5	C12orf77
Q2KHT3	CLEC16A KIAA0350
A5D8T8	CLEC18A MRLP2
Q8NCF0	CLEC18C MRLP3
P16619	CCL3L1 D17S1718 G0S19-2 SCYA3L1; CCL3L3
Q86T13	CLEC14A C14orf27 EGFR5 UNQ236/PRO269
Q8NC01	CLEC1A CLEC1 UNQ569/PRO1131
Q9P126	CLEC1B CLEC2 UNQ721/PRO1384
Q6UVW9	CLEC2A KACL UNQ5792/PRO19597
Q9UHP7	CLEC2D CLAX LLT1 OCIL
P16278	GLB1 ELNR1
Q8WXI8	CLEC4D CLECSF8 MCL
Q8N1N0	CLEC4F CLECSF13
Q6UXB4	CLEC4G UNQ431/PRO792
Q9UJ71	CD207 CLEC4K
Q9H2X3	CLEC4M CD209L CD209L1 CD299
P16442	ABO
Q9BXN2	CLEC7A BGR CLECSF12 DECTIN1 UNQ539/PRO1082
Q6ZT62	BARGIN
Q96S66	CLCC1 KIAA0761 MCLC
P56856	CLDN18 UNQ778/PRO1572
Q8N6F1	CLDN19
O95832	CLDN1 CLD1 SEMP1 UNQ481/PRO944
A6NM45	CLDN24 CLDN21
C9JDP6	CLDN25
P57739	CLDN2 PSEC0059 SP82 UNQ705/PRO1356
O14493	CLDN4 CPER CPETR1 WBSCR8
P08236	GUSB
P56748	CLDN8 UNQ779/PRO1573
Q8NHS1	CLDND2
P30622	CLIP1 CYLN1 RSN
Q496F6	CD300E CD300LE CLM2 CMRF35A5 IREM2
Q6UXZ3	CD300LD CD300D CMRF35A4 UNQ9218/PRO28686
Q7Z7G1	CLNK MIST
Q6PL18	ATAD2 L16 PRO2000
Q6UY14	ADAMTSL4 TSRC1 PP1396 UNQ2803/PRO34012
Q5T6C5	ATXN7L2
Q5TC04	ATP1A1-AS1 ATP1A1OS C1orf203
Q6ZMM2	ADAMTSL5 THSD6
Q6ZMG9	CERS6 LASS6
Q6UWU4	C6orf89 BRAP UNQ177/PRO203
Q9H6K1	C6orf106
Q5TEZ5	C6orf163
P00746	CFD DF PFD
O15519	CFLAR CASH CASP8AP1 CLARP MRIT
Q13705	ACVR2B
O75366	AVIL
O96017	CHEK2 CDS1 CHK2 RAD53
P35790	CHKA CHK CKI
Q96A70	AZIN2 ADC KIAA1945 ODCP
Q9Y259	CHKB CHETK CHKL
Q9Y2T1	AXIN2
Q9HD36	BCL2L10 BCLB
O43521	BCL2L11 BIM
Q5TBC7	BCL2L15 C1orf178
Q16548	BCL2A1 BCL2L5 BFL1 GRS HBPA1
P04920	SLC4A2 AE2 EPB3L1 HKB3 MPB3L
Q9HD42	CHMP1A CHMP1 KIAA0047 PCOLN3 PRSM1
Q7LBR1	CHMP1B C18orf2
Q9UQN3	CHMP2B CGI-84
Q9P2W7	B3GAT1 GLCATP
Q9NPZ5	B3GAT2 GLCATS KIAA1963
O94766	B3GAT3
Q8NCR0	B3GALNT2
Q6Y288	B3GLCT B3GALTL B3GTL
Q9NY97	B3GNT2 B3GALT7 B3GNT1
Q9Y2A9	B3GNT3 B3GALT8 TMEM3 UNQ637/PRO1266
Q9C0J1	B3GNT4 UNQ1898/PRO4344
O43825	B3GALT2
P15291	B4GALT1 GGTB2
O60513	B4GALT4 UNQ552/PRO1109
O43286	B4GALT5
Q9UBV7	B4GALT7 XGALT1 UNQ748/PRO1478
Q9BPU9	B9D2 MKSR2
Q9H9P2	CHODL C21orf68 PRED12 UNQ872/PRO1890
Q8WXS3	BAALC
Q9NXR7	BABAM2 BRCC45 BRE
Q9UHD1	CHORDC1 CHP1
Q9H2X0	CHRD UNQ217/PRO243
O75531	BANF1 BAF BCRG1
Q9H3F6	KCTD10 ULR061 MSTP028
O95816	BAG2
Q9UQB8	BAIAP2
Q16611	BAK1 BAK BCL2L7 CDN1
Q13145	BAMBI NMA
Q9Y2V2	CARHSP1
Q9Y3Y2	CHTOP C1orf77 FOP HT031 PP7704
Q9BZE3	BARHL1 FKSG31
Q9NY43	BARHL2
P35613	BSG UNQ6505/PRO21383
P80723	BASP1 NAP22
Q9NR55	BATF3 SNFT
Q16520	BATF
Q07812	BAX BCL2L4
Q9BUW7	C9orf16 EST00098
Q9H2J1	ARRDC1-AS1 C9orf37 AD038
Q9UIG0	BAZ1B WBSC10 WBSCR10 WBSCR9 WSTF
Q96LT7	C9orf72
Q9UIF8	BAZ2B KIAA1476
A6NGG3	C9orf92
Q8NAJ2	C9orf106
B1AMM8	LINC00587 C9orf107
A8MTZ0	BBIP1 BBIP10 NCRNA00081
Q5BN46	C9orf116
Q5VTT2	C9orf135
Q6ZV77	C9orf139
Q5JTZ5	C9orf152
Q5TBE3	C9orf153
Q8N9P6	C9orf163
A2RU37	C9orf170
Q9Y3D0	CIAO2B CIAB FAM96B MIP18 CGI-128 HSPC118
Q8TAM1	BBS10 C12orf58
Q9Y375	NDUFAF1 CIA30 CGI-65
Q8NFJ9	BBS1 BBS2L2
Q96RK4	BBS4
O76071	CIAO1 CIA1 WDR39
Q8IWZ6	BBS7 BBS2L1
Q9H165	BCL11A CTIP1 EVI9 KIAA1809 ZNF856
Q96Q77	CIB3 KIP3
A0PJX0	CIB4
Q9C0K0	BCL11B CTIP2 RIT1
Q96RK0	CIC KIAA0306
Q8TDM0	BCAS4
P54687	BCAT1 BCT1 ECA39
P56945	BCAR1 CAS CASS1 CRKAS
Q96AQ7	CIDEC FSP27
Q9HAY6	BCO1 BCDO BCDO1 BCMO1
Q9BYV7	BCO2 BCDO2
O60756	BCE1
Q8IUL8	CILP2
P10415	BCL2
P20749	BCL3 BCL4 D19S37
Q8N143	BCL6B BAZF ZNF62
P41182	BCL6 BCL5 LAZ3 ZBTB27 ZNF51
Q9BQE9	BCL7B
Q8WUZ0	BCL7C
P0C6P0	NBEAP1 BCL8 BCL8A
A2AJT9	BCLAF3 CXorf23
Q8N888	BCORP1 BCORL2
Q5H9F3	BCORL1
Q14011	CIRBP A18HNRNP CIRP
P11274	BCR BCR1 D22S11
Q9NSE2	CISH G18
P23560	BDNF
A6H8Y1	BDP1 KIAA1241 KIAA1689 TFNR
Q3B7T3	BEAN1
Q14457	BECN1 GT197
Q5T742	C10orf25
A4QN01	LINC01553 C10orf40
P0C842	LINC00614 C10orf52
Q8N6V4	C10orf53
Q5SWW7	C10orf55
Q5T681	C10orf62
Q5T1B1	C10orf91
Q9H7T3	C10orf95
Q8TEF2	C10orf105
Q8N326	C10orf111
Q5VZT2	C10orf113
Q00535	CDK5 CDKN5
P18848	ATF4 CREB2 TXREB
Q9NYQ7	CELSR3 CDHF11 EGFL1 FMI1 KIAA0812 MEGF2
Q5TC12	ATPAF1 ATP11
Q53EZ4	CEP55 C10orf3 URCC6
Q8NHQ1	CEP70 BITE
Q8TAP6	CEP76 C18orf9
P27544	CERS1 LAG1 LASS1 UOG1
Q96G23	CERS2 LASS2 TMSG1
Q8IU89	CERS3 LASS3
Q9HA82	CERS4 LASS4
Q8N5B7	CERS5 LASS5
Q12798	CETN1 CEN1 CETN
Q5T4I8	C6orf52
Q5T5N4	C6orf118
Q5JU67	CFAP157 C9orf117
Q6P656	CFAP161 C15orf26
Q7Z4U5	C6orf201
Q9P0P8	C6orf203 HSPC230
Q96N23	CFAP54 C12orf55 C12orf63
Q96MR6	CFAP57 WDR65
Q92843	BCL2L2 BCLW KIAA0271
Q9BXK5	BCL2L13 MIL1 CD003
Q9BZR8	BCL2L14 BCLG
P61769	B2M CDABP0092 HDCMA22P
P48751	SLC4A3 AE3
Q96Q91	SLC4A9 AE4 SBC5
P59052	B3GALT5-AS1 C21orf88
P02730	SLC4A1 AE1 DI EPB3
O43633	CHMP2A BC2 CHMP2
